comp1,comp2,A12,A21
acetone,chloroform,-0.8643,-0.5899
acetone,methanol,0.6184,0.5797
acetone,water,2.1041,1.5555
carbon_tetrachloride,benzene,0.0951,0.0911
chloroform,methanol,0.9356,1.886
ethanol,benzene,1.857,1.4785
ethanol,water,1.6798,0.9227
ethyl_acetate,ethanol,0.8552,0.7526
n_hexane,ethanol,1.9195,2.8463
methanol,benzene,2.1623,1.7925
methanol,ethyl_acetate,1.0017,1.0524
methanol,water,0.8041,0.5619
methyl_acetate,methanol,0.9614,1.0126
1_propanol,water,2.9095,1.1572
2_propanol,water,2.4702,1.0938
tetrahydrofuran,water,3.0216,1.9426
water,acetic_acid,0.4973,1.0623
water,1_butanol,1.0996,4.176
water,formic_acid,-0.2935,-0.2757